country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","15-07-2026 16:00:00",22.06631475,83.33820077,CO,11,19,15
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","15-07-2026 16:00:00",28.611281,77.237738,NO2,12,61,32
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","15-07-2026 16:00:00",28.611281,77.237738,CO,19,27,22
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","15-07-2026 16:00:00",28.611281,77.237738,OZONE,7,29,20
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IITM","15-07-2026 16:00:00",28.5627763,77.1180053,OZONE,35,95,71
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","15-07-2026 16:00:00",28.58028,77.233829,SO2,3,13,9
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","15-07-2026 16:00:00",28.623763,77.287209,CO,33,39,35
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","15-07-2026 16:00:00",28.674045,77.131023,CO,31,40,35
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","15-07-2026 16:00:00",28.6514781,77.1473105,PM2.5,39,301,122
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","15-07-2026 16:00:00",28.56789,77.250515,PM2.5,3,117,66
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","15-07-2026 16:00:00",21.224231,81.40835,CO,6,26,13
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","15-07-2026 16:00:00",21.194815,81.31477,OZONE,14,28,22
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","15-07-2026 16:00:00",22.08815,82.13737,NH3,NA,NA,NA
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","15-07-2026 16:00:00",22.08815,82.13737,SO2,NA,NA,NA
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","15-07-2026 16:00:00",22.08815,82.13737,CO,23,28,25
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","15-07-2026 16:00:00",22.118125,83.140608,PM10,NA,NA,NA
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","15-07-2026 16:00:00",22.118125,83.140608,SO2,NA,NA,NA
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","15-07-2026 16:00:00",22.118125,83.140608,CO,10,17,12
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","15-07-2026 16:00:00",22.368195,82.746431,NH3,1,1,1
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","15-07-2026 16:00:00",22.368195,82.746431,SO2,3,7,5
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM","15-07-2026 16:00:00",28.4706914,77.1099364,PM2.5,3,99,47
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM","15-07-2026 16:00:00",28.4706914,77.1099364,PM10,30,198,110
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM","15-07-2026 16:00:00",28.4706914,77.1099364,CO,22,28,25
India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM","15-07-2026 16:00:00",28.5918245,77.2273074,OZONE,10,45,31
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IITM","15-07-2026 16:00:00",28.5512005,77.2735737,SO2,NA,NA,NA
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IITM","15-07-2026 16:00:00",28.5512005,77.2735737,CO,45,76,55
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IITM","15-07-2026 16:00:00",28.5512005,77.2735737,OZONE,10,31,21
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","15-07-2026 16:00:00",28.594004,76.909423,NO2,5,34,14
